Cluster size,total energy,temperature,potential energy,kinetic energy
923,-3178.062094091770177,728.450095719687170,-3264.971274373371671,86.909180281602104
923,-3176.867807722051566,730.217835164611643,-3263.987891656508054,87.120083934457099
923,-3175.673528980859373,742.476228845806531,-3264.256124832963906,88.582595852105214
923,-3174.479281935351082,751.084317751394565,-3264.088882869853023,89.609600934501003
923,-3173.284963636467637,738.162375435454351,-3261.352886670279076,88.067923033813699
923,-3172.090690279131195,748.636053230518314,-3261.408196169822531,89.317505890691749
923,-3170.896418806165002,749.326870333073884,-3260.296343998413704,89.399925192247778
923,-3169.702151360110292,752.262341346449944,-3259.452298730941038,89.750147370832579
923,-3168.507851898792524,759.597935106617570,-3259.133186800417207,90.625334901619937
923,-3167.313574591012639,756.233842484992692,-3257.537549764831510,90.223975173816015
923,-3166.119315403540895,768.225392830200008,-3257.773966222718173,91.654650819177817
923,-3164.925039740343436,772.518130176944737,-3257.091844084050535,92.166804343711291
923,-3163.730755047069124,771.144450735474265,-3255.733669846488283,92.002914799418136
923,-3162.536459379144162,766.203816202915277,-3253.949921998073023,91.413462618934460
923,-3161.342179247169497,775.046193194919056,-3253.810599152313443,92.468419905139072
923,-3160.147923562604774,781.980415935913470,-3253.443644634770408,93.295721072166103
923,-3158.953633144066771,771.073146093611172,-3250.948040802074047,91.994407658007745
923,-3157.759360602668494,769.849312036157016,-3249.607756316467203,91.848395713800841
923,-3156.565067641065070,776.934880659524538,-3249.258821141901535,92.693753500839577
923,-3155.370797623526414,765.824500670092107,-3246.739005252149127,91.368207628620780
923,-3154.176508091130017,772.688569158867153,-3246.363646994886039,92.187138903750650
923,-3152.982230621867075,779.474771064517313,-3245.979010773954087,92.996780152081996
923,-3151.787967360444782,778.729667223265778,-3244.695851424174180,92.907884063731458
923,-3150.593698619331917,777.557507446076102,-3243.361735841127029,92.768037221795225
923,-3149.399415354053872,796.172218988775398,-3244.388317575193923,94.988902221141899
923,-3148.205145047882979,794.839213496147636,-3243.035010410693758,94.829865362809258
923,-3147.010865290719266,803.822068795229370,-3242.912447982166213,95.901582691448482
923,-3145.816572711024037,791.127092636474117,-3240.203556148333519,94.386983437312992
923,-3144.622283617335597,788.126734709714356,-3238.651303414451377,94.029019797115524
923,-3143.428022120851438,804.097294746749299,-3239.362441189126457,95.934419068270017
923,-3142.233749118549895,801.425000613725729,-3237.849344846776148,95.615595728226552
923,-3141.039458882632971,797.285188403472830,-3236.161146122375612,95.121687239742414
923,-3139.845163113145190,784.982702093057469,-3233.499077876848332,93.653914763705544
923,-3138.650887146818604,796.301665940100861,-3233.655233292670346,95.004346145846682
923,-3137.456621820606415,820.578509164351317,-3235.357364791497730,97.900742970889652
923,-3136.262366395628760,820.964500699021073,-3234.209160850441094,97.946794454815347
923,-3135.068065778207256,813.763371503527992,-3232.155715263230832,97.087649485022936
923,-3133.873782327992103,814.081935355083942,-3230.999438703762280,97.125656375774881
923,-3132.679513269504696,815.364917543753563,-3229.958238374334087,97.278725104831537
