time step (dt), time (t) ,Total Energy, potential energy(E_pot) , kinetic energy (E_kin)
0.5,54.5,-3340.63,-3340.63,0.000644488
0.5,55,-3340.78,-3340.78,0.00065157
0.5,55.5,-3340.92,-3340.92,0.000658602
0.5,56,-3341.06,-3341.07,0.000665583
0.5,56.5,-3341.21,-3341.21,0.000672511
0.5,57,-3341.35,-3341.35,0.000679387
0.5,57.5,-3341.49,-3341.49,0.000686208
0.5,58,-3341.62,-3341.62,0.000692974
0.5,58.5,-3341.76,-3341.76,0.000699685
0.5,59,-3341.9,-3341.9,0.000706339
0.5,59.5,-3342.03,-3342.03,0.000712937
0.5,60,-3342.16,-3342.17,0.000719476
0.5,60.5,-3342.3,-3342.3,0.000725958
0.5,61,-3342.43,-3342.43,0.00073238
0.5,61.5,-3342.56,-3342.56,0.000738743
0.5,62,-3342.69,-3342.69,0.000745046
0.5,62.5,-3342.81,-3342.81,0.000751288
0.5,63,-3342.94,-3342.94,0.00075747
0.5,63.5,-3343.07,-3343.07,0.00076359
0.5,64,-3343.19,-3343.19,0.000769648
0.5,64.5,-3343.31,-3343.31,0.000775644
0.5,65,-3343.43,-3343.43,0.000781578
0.5,65.5,-3343.55,-3343.55,0.00078745
0.5,66,-3343.67,-3343.67,0.000793258
0.5,66.5,-3343.79,-3343.79,0.000799004
0.5,67,-3343.9,-3343.9,0.000804686
0.5,67.5,-3344.02,-3344.02,0.000810305
0.5,68,-3344.13,-3344.13,0.00081586
0.5,68.5,-3344.24,-3344.25,0.000821352
0.5,69,-3344.36,-3344.36,0.00082678
0.5,69.5,-3344.46,-3344.47,0.000832144
0.5,70,-3344.57,-3344.57,0.000837444
0.5,70.5,-3344.68,-3344.68,0.000842681
0.5,71,-3344.79,-3344.79,0.000847854
0.5,71.5,-3344.89,-3344.89,0.000852964
0.5,72,-3344.99,-3344.99,0.00085801
0.5,72.5,-3345.09,-3345.1,0.000862992
0.5,73,-3345.19,-3345.2,0.000867912
0.5,73.5,-3345.29,-3345.29,0.000872768
0.5,74,-3345.39,-3345.39,0.000877561
0.5,74.5,-3345.49,-3345.49,0.000882292
0.5,75,-3345.58,-3345.58,0.000886961
0.5,75.5,-3345.68,-3345.68,0.000891567
0.5,76,-3345.77,-3345.77,0.000896112
0.5,76.5,-3345.86,-3345.86,0.000900595
0.5,77,-3345.95,-3345.95,0.000905016
0.5,77.5,-3346.04,-3346.04,0.000909377
0.5,78,-3346.13,-3346.13,0.000913678
0.5,78.5,-3346.22,-3346.22,0.000917918
0.5,79,-3346.3,-3346.3,0.000922098
0.5,79.5,-3346.38,-3346.39,0.000926219
0.5,80,-3346.47,-3346.47,0.000930282
0.5,80.5,-3346.55,-3346.55,0.000934285
0.5,81,-3346.63,-3346.63,0.000938231
0.5,81.5,-3346.71,-3346.71,0.00094212
0.5,82,-3346.79,-3346.79,0.000945951
